"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.05646533794206476e+01, 2.02868213678229553e-04,-1.55087447448003964e-02,-3.24673431180542238e+01,-4.70009493976054671e+01, 4.92436158058877971e-01, 2.21357812069017230e-05, 1.79922664949464381e-06
 2.05883892344261383e+01, 2.02868380420739191e-04,-1.76746024321638752e-02,-3.89217001284289736e+01,-4.61531864359436668e+01, 4.92436681618616312e-01, 2.21375617613410359e-05, 1.79937273354408967e-06
 2.06121250894316290e+01, 2.02868578016108728e-04,-2.00311054388990391e-02,-4.60738626777431151e+01,-4.51449029562160504e+01, 4.92437205159825864e-01, 2.21395298962475602e-05, 1.79953439831541023e-06
 2.06358609444371197e+01, 2.02868816219078203e-04,-2.26601187340377784e-02,-5.41438750184991449e+01,-4.39564926199344583e+01, 4.92437728682471099e-01, 2.21417064162256526e-05, 1.79971343515107217e-06
 2.06595967994426104e+01, 2.02869106609458131e-04,-2.56763857417607738e-02,-6.34080479950917848e+01,-4.25624665294187849e+01, 4.92438252186862269e-01, 2.21441190686195915e-05, 1.79991224214985226e-06
 2.06833326544481011e+01, 2.02869463041543122e-04,-2.92408373220789178e-02,-7.41833346244983716e+01,-4.09307031034702007e+01, 4.92438775673710027e-01, 2.21468048897265829e-05, 1.80013403169455285e-06
 2.07070685094535918e+01, 2.02869902639384839e-04,-3.35877152515072358e-02,-8.68458892338393156e+01,-3.90214149523369400e+01, 4.92439299144173170e-01, 2.21498142340327953e-05, 1.80038318491193615e-06
 2.07308043644590825e+01, 2.02870447274677000e-04,-3.90681954401851245e-02,-1.01985537209728292e+02,-3.67844895769040789e+01, 4.92439822599926913e-01, 2.21532170528693941e-05, 1.80066581318260076e-06
 2.07545402194645732e+01, 2.02871125885558518e-04,-4.62186985775477344e-02,-1.20311653373625916e+02,-3.41503842357091330e+01, 4.92440346043271304e-01, 2.21571131388472066e-05, 1.80099068202999351e-06
 2.07782760744700639e+01, 2.02871978137928079e-04,-5.59090462962406609e-02,-1.42408671523418207e+02,-3.10348955248966512e+01, 4.92440869477293208e-01, 2.21616495932167214e-05, 1.80137079134512426e-06
 2.08020119294755546e+01, 2.02873057331936027e-04,-6.95703756014905000e-02,-1.67851662221709802e+02,-2.73587953696657920e+01, 4.92441392905938025e-01, 2.21670431324672292e-05, 1.80182492979469135e-06
 2.08168668247165272e+01, 2.02873877606974187e-04,-8.08180875725551806e-02,-1.84341200624205044e+02,-2.47459015519261918e+01, 4.92441720488937473e-01, 2.21709780922259619e-05, 1.80215782566346575e-06
 2.08317217199574998e+01, 2.02874837638001735e-04,-9.50024379283917891e-02,-1.99235798816092512e+02,-2.18963147803385709e+01, 4.92442048073292171e-01, 2.21754740887774557e-05, 1.80254005976977343e-06
 2.08465766151984724e+01, 2.02875965673361707e-04,-1.12898115733751747e-01,-2.10505882401469677e+02,-1.88526052634595729e+01, 4.92442375660608500e-01, 2.21806865837943867e-05, 1.80298461738933926e-06
 2.08614315104394450e+01, 2.02877294727197850e-04,-1.35277455935352980e-01,-2.16499924647359251e+02,-1.56819780977225225e+01, 4.92442703252596536e-01, 2.21867998199528157e-05, 1.80350804279977478e-06
 2.08762864056804176e+01, 2.02878860907232416e-04,-1.62577337460999033e-01,-2.16691427329050924e+02,-1.24672092867431719e+01, 4.92443030850698127e-01, 2.21940684008730644e-05, 1.80413149245429734e-06
 2.08911413009213902e+01, 2.02880700696086232e-04,-1.94766707735291977e-01,-2.11592291494909716e+02,-9.28746657537540088e+00, 4.92443358455817271e-01, 2.22027723636303366e-05, 1.80487800933902370e-06
 2.09059961961623628e+01, 2.02882848317223772e-04,-2.31383551755373368e-01,-2.02341248235806461e+02,-6.21114638655446427e+00, 4.92443686068008313e-01, 2.22132252955323341e-05, 1.80577306796849214e-06
