"environment.time","Ca_Concentrations.Ca_i","I_Ca.I_Ca_tot","membrane.I_tot","membrane.V","SR_Ca_Concentrations.Ca_sr","SR_Fluxes.J_SRCarel","SR_Fluxes.Ry_Ro"
 2.06820935900262484e+01, 1.74133333187160270e-04,-2.64789542031293353e-02,-6.48888604361509493e+01,-4.24151407622038548e+01, 4.92372108603257141e-01, 1.95138578066890411e-05, 1.58626873197721252e-06
 2.07055650327708491e+01, 1.74132405579743881e-04,-3.00277161563053015e-02,-7.54911968975878267e+01,-4.07700845422714835e+01, 4.92373911977113554e-01, 1.95163431930128106e-05, 1.58646956329275809e-06
 2.07290364755154499e+01, 1.74131550308414211e-04,-3.43645665640705464e-02,-8.79589514351545603e+01,-3.88555239706363977e+01, 4.92375715288450533e-01, 1.95191208348914708e-05, 1.58669506985278726e-06
 2.07525079182600507e+01, 1.74130785809700257e-04,-3.98327170707869216e-02,-1.02840908043477356e+02,-3.66226137806249312e+01, 4.92377518537043202e-01, 1.95222541372983710e-05, 1.58695076591456712e-06
 2.07759793610046515e+01, 1.74130136713657906e-04,-4.69533687303836031e-02,-1.20820477678751615e+02,-3.40055178591398288e+01, 4.92379321722744401e-01, 1.95258330208022031e-05, 1.58724451010711379e-06
 2.07994508037492523e+01, 1.74129636989854661e-04,-5.65522812701290539e-02,-1.42445453380581853e+02,-3.09221022902239895e+01, 4.92381124845478302e-01, 1.95299888789923896e-05, 1.58758784543453246e-06
 2.08229222464938530e+01, 1.74129335917743653e-04,-7.01243270495729154e-02,-1.67199863443025464e+02,-2.72937690340765613e+01, 4.92382927905140155e-01, 1.95349287743709898e-05, 1.58799878728132529e-06
 2.08463936892384538e+01, 1.74129300897580587e-04,-8.97141622335168448e-02,-1.91762180301250680e+02,-2.30876027204492864e+01, 4.92384730901482881e-01, 1.95409569706225499e-05, 1.58850431437901791e-06
 2.08599477665911586e+01, 1.74129433829957092e-04,-1.04463483300813315e-01,-2.03517930643644320e+02,-2.04105283399237862e+01, 4.92385772050477399e-01, 1.95450906474142067e-05, 1.58885294731136533e-06
 2.08735018439438633e+01, 1.74129706399995138e-04,-1.22565206655858225e-01,-2.11548676362021354e+02,-1.75979802545221951e+01, 4.92386813177814353e-01, 1.95498492982293751e-05, 1.58925606924463599e-06
