"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 3.85586871702425604e+00, 1.11361657218263285e-01, 8.15389940166648330e+02, 1.11362735254731032e-01,-2.38677320113951937e-10, 2.12675618979538614e-02,-8.21896022335335914e+01, 4.34329838576976365e-02, 6.77698257533123228e-03, 1.70320389491788883e+04
 2.00000000000000000e+01, 1.10993683169553381e-01, 8.16578927825692404e+02, 1.10994720208737518e-01,-1.45777714319703573e-10, 2.11338345099923025e-02,-8.21884008885882196e+01, 4.34651588651469370e-02, 6.89904086667659892e-03, 1.70319103671677694e+04
 2.00026434578502510e+01, 1.10993623258670168e-01, 8.16579122818044425e+02, 1.10994659825525824e-01,-1.45762064897037280e-10, 2.11338127667186002e-02,-8.19770199682043312e+01, 5.16449016311608597e-02, 7.23657805109072325e-03, 1.70319103456138218e+04
 2.00052869157005020e+01, 1.10993563841451842e-01, 8.16579317809572672e+02, 1.10994599495507926e-01,-1.45746417153871033e-10, 2.11337912026185910e-02,-8.17657334213837146e+01, 5.98209914115701916e-02, 7.57479507582722953e-03, 1.70319103235566436e+04
 2.00141816458476036e+01, 1.10993367658378569e-01, 8.16579973912556966e+02, 1.10994397284391449e-01,-1.45693778153996718e-10, 2.11337200025931773e-02,-8.10554818939322104e+01, 8.73053658220534767e-02, 8.71781976621198093e-03, 1.70319102455450557e+04
 2.00230763759947052e+01, 1.10993176497270502e-01, 8.16580630007249511e+02, 1.10994196582735821e-01,-1.45641156111057575e-10, 2.11336506252700583e-02,-8.03461087664358757e+01, 1.14755736128111047e-01, 9.86880478786929249e-03, 1.70319101624818832e+04
 2.00319711061418069e+01, 1.10992990812870188e-01, 8.16581286092959544e+02, 1.10993998061769711e-01,-1.45588552385512309e-10, 2.11335832356791091e-02,-7.96376404557844495e+01, 1.42171078916522475e-01, 1.10276782212098273e-02, 1.70319100739554451e+04
 2.00474476578185374e+01, 1.10992681362395998e-01, 8.16582427639423713e+02, 1.10993659954377155e-01,-1.45497068569716332e-10, 2.11334709284359407e-02,-7.84069608699846867e+01, 1.89794205572281133e-01, 1.30630046537176924e-02, 1.70319099065216396e+04
 2.00629242094952680e+01, 1.10992389419477491e-01, 8.16583569157766306e+02, 1.10993332766451278e-01,-1.45405641991089116e-10, 2.11333649753515686e-02,-7.71786726516841242e+01, 2.37324740459559064e-01, 1.51225653308259128e-02, 1.70319097221004486e+04
 2.00871046526170929e+01, 1.10991968887797124e-01, 8.16585352600660372e+02, 1.10992847320888668e-01,-1.45262912589637733e-10, 2.11332123547204702e-02,-7.52638779898011450e+01, 3.11420588986910885e-01, 1.83895057477850496e-02, 1.70319094000739387e+04
 2.01112850957389178e+01, 1.10991592597022209e-01, 8.16587135974656235e+02, 1.10992397997431963e-01,-1.45120323221878583e-10, 2.11330757905308850e-02,-7.33535043143037342e+01, 3.85345172220340426e-01, 2.17173683466270785e-02, 1.70319090370689373e+04
 2.01354655388607426e+01, 1.10991261557640358e-01, 8.16588919279722290e+02, 1.10991988994181612e-01,-1.44977873822243023e-10, 2.11329556493769569e-02,-7.14466394605773587e+01, 4.59133741897949144e-01, 2.51075120449202743e-02, 1.70319086337547269e+04
 2.01596459819825675e+01, 1.10990976743413072e-01, 8.16590702515876046e+02, 1.10991622818773589e-01,-1.44835564234721506e-10, 2.11328522845367038e-02,-6.95425185829762000e+01, 5.32815838258212771e-01, 2.85611920743409284e-02, 1.70319081911562171e+04
 2.01838264251043924e+01, 1.10990739087223442e-01, 8.16592485683142968e+02, 1.10991300965429182e-01,-1.44693394295633525e-10, 2.11327660344664270e-02,-6.76405513511766969e+01, 6.06414235994112927e-01, 3.20794897359926029e-02, 1.70319077107884877e+04
 2.02080068682262173e+01, 1.10990549525320961e-01, 8.16594268781539881e+02, 1.10991024660140644e-01,-1.44551363860690138e-10, 2.11326972388592924e-02,-6.57402682523067483e+01, 6.79947019517660345e-01, 3.56633901714455206e-02, 1.70319071949151185e+04
 2.02321873113480422e+01, 1.10990409020532435e-01, 8.16596051811077700e+02, 1.10990795127400788e-01,-1.44409472791019896e-10, 2.11326462470701575e-02,-6.38412744676831565e+01, 7.53429364408379709e-01, 3.93138568680098388e-02, 1.70319066469549907e+04
 2.02563677544698670e+01, 1.10990318559945900e-01, 8.16597834771768134e+02, 1.10990613560267432e-01,-1.44267720922786728e-10, 2.11326134172762151e-02,-6.19432271920601707e+01, 8.26874411299674317e-01, 4.30318696329211117e-02, 1.70319060720897796e+04
 2.02805481975916919e+01, 1.10990279146235632e-01, 8.16599617663626077e+02, 1.10990481070157063e-01,-1.44126108004983815e-10, 2.11325991133299133e-02,-6.00458176502393002e+01, 9.00293957518093046e-01, 4.68184578377519520e-02, 1.70319054781631021e+04
