environment.time,calcium_concentration.Cai,calcium_concentration.CaJSR,calcium_concentration.Cass,calcium_fluxes.J_rel,calcium_fluxes.J_up,membrane.V,non_inactivating_steady_state_potassium_current.i_Kss,sodium_calcium_exchange_current.i_NaCa,sodium_concentration.Nai,,,,39.56253578,0,0.402386637,0.282421675
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.44E-12,1.68E-02,-4.68E+01,1.41E+00,7.39E-02,1.70E+04,,,,55.51828606,15.95575028,0.345386649,0.225421687
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.45E-12,1.68E-02,-4.48E+01,1.49E+00,7.84E-02,1.70E+04,,,,56.01690326,16.45436748,0.343169094,0.223204132
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.45E-12,1.68E-02,-4.37E+01,1.53E+00,8.11E-02,1.70E+04,,,,56.51552045,16.95298468,0.340969211,0.221004249
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.45E-12,1.68E-02,-4.28E+01,1.57E+00,8.33E-02,1.70E+04,,,,57.01413765,17.45160187,0.338789072,0.21882411
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.45E-12,1.68E-02,-4.28E+01,1.57E+00,8.33E-02,1.70E+04,,,,57.51275485,17.95021907,0.336630704,0.216665742
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.45E-12,1.68E-02,-4.28E+01,1.57E+00,8.33E-02,1.70E+04,,,,58.01137204,18.44883627,0.334495825,0.214530863
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.47E-12,1.68E-02,-4.28E+01,1.57E+00,8.33E-02,1.70E+04,,,,58.50998924,18.94745346,0.332385739,0.212420777
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.48E-12,1.68E-02,-4.28E+01,1.57E+00,8.33E-02,1.70E+04,,,,59.00860643,19.44607066,0.330301507,0.210336545
2.05E+01,1.20E-01,7.78E+02,1.20E-01,1.51E-12,1.68E-02,-4.27E+01,1.57E+00,8.33E-02,1.70E+04,,,,59.50722363,19.94468786,0.328244225,0.208279263
2.06E+01,1.20E-01,7.78E+02,1.20E-01,1.54E-12,1.68E-02,-4.27E+01,1.57E+00,8.34E-02,1.70E+04,,,,60.27491068,20.7123749,0.325132992,0.20516803
2.06E+01,1.20E-01,7.78E+02,1.20E-01,1.60E-12,1.68E-02,-4.27E+01,1.57E+00,8.35E-02,1.70E+04,,,,61.04259772,21.48006194,0.322094652,0.20212969
2.06E+01,1.20E-01,7.78E+02,1.20E-01,1.73E-12,1.68E-02,-4.26E+01,1.57E+00,8.36E-02,1.70E+04,,,,61.81028476,22.24774899,0.319132292,0.19916733
2.06E+01,1.20E-01,7.78E+02,1.20E-01,1.96E-12,1.68E-02,-4.25E+01,1.58E+00,8.39E-02,1.70E+04,,,,62.57797181,23.01543603,0.316244515,0.196279553
