"environment.time","calcium_concentration.Cai","calcium_concentration.CaJSR","calcium_concentration.Cass","calcium_fluxes.J_rel","calcium_fluxes.J_up","membrane.V","non_inactivating_steady_state_potassium_current.i_Kss","sodium_calcium_exchange_current.i_NaCa","sodium_concentration.Nai"
 2.02806768224425333e+01, 1.19833376784452536e-01, 6.51290825831621078e+02, 1.19833078721455960e-01,-2.76670538761148064e-11, 1.57297772718961830e-02,-6.00681850536196436e+01, 8.98961608766315923e-01, 4.50564557299073173e-02, 1.70582749261091158e+04
 2.03048719656355807e+01, 1.19833668501466775e-01, 6.51292012017786760e+02, 1.19833272932607135e-01,-2.76398687316353346e-11, 1.57298751733936336e-02,-5.81700938742427311e+01, 9.72363805204158438e-01, 4.89950918628052692e-02, 1.70582743309054058e+04
 2.03290671088286281e+01, 1.19834017290836842e-01, 6.51293198139934589e+02, 1.19833522307829995e-01,-2.76127089285487934e-11, 1.57299989218064769e-02,-5.62719987268911837e+01, 1.04576493215258259e+00, 5.30039981330025153e-02, 1.70582737456544528e+04
 2.03532622520216755e+01, 1.19834424241888018e-01, 6.51294384198086391e+02, 1.19833827915611299e-01,-2.75855712564903914e-11, 1.57301490103214404e-02,-5.43734602413898855e+01, 1.11918171854778348e+00, 5.70848465272966316e-02, 1.70582731967554173e+04
 2.03774573952147229e+01, 1.19834890472815328e-01, 6.51295570192265245e+02, 1.19834190844744823e-01,-2.75584455713800394e-11, 1.57303259452210333e-02,-5.24738669315824993e+01, 1.19263749859178292e+00, 6.12398509097669824e-02, 1.70582727232389698e+04
 2.04016525384077703e+01, 1.19835417140412251e-01, 6.51296756122495594e+02, 1.19834612207000757e-01,-2.75313006411131435e-11, 1.57305302502912976e-02,-5.05723367852946737e+01, 1.26616600953123193e+00, 6.54720279837855690e-02, 1.70582723822962944e+04
 2.04258476816008177e+01, 1.19836005454144648e-01, 6.51297941988803359e+02, 1.19835093144671861e-01,-2.75040430833513130e-11, 1.57307624731977749e-02,-4.86675867516295213e+01, 1.33981643040918796e+00, 6.97855565313099530e-02, 1.70582722569007965e+04
 2.04500428247938650e+01, 1.19836656696667737e-01, 6.51299127791216279e+02, 1.19835634844754346e-01,-2.74764022207563001e-11, 1.57310231947797273e-02,-4.67577596847459773e+01, 1.41366006588540394e+00, 7.41862701889811349e-02, 1.70582724661342436e+04
 2.04742379679869124e+01, 1.19837372271920456e-01, 6.51300313529763571e+02, 1.19836238570065298e-01,-2.74474169562928860e-11, 1.57313130508340698e-02,-4.48400965438755321e+01, 1.48780301085385913e+00, 7.86825646194299899e-02, 1.70582731851245662e+04
 2.04886306524199675e+01, 1.19837829064843512e-01, 6.51301018846028796e+02, 1.19836627664165987e-01,-2.74285826885622750e-11, 1.57314995706778205e-02,-4.36942387033609023e+01, 1.53210351261040301e+00, 8.14068748417109411e-02, 1.70582739432208691e+04
 2.05000000000000000e+01, 1.19838206605194619e-01, 6.51301575987125830e+02, 1.19836951074148171e-01,-2.74117564647053680e-11, 1.57316544737600462e-02,-4.27855469289432406e+01, 1.56723366422782040e+00, 8.35875969982053935e-02, 1.70582747686434013e+04
 2.05000239554772890e+01, 1.19838207416344558e-01, 6.51301577161019964e+02, 1.19836951770682723e-01,-2.74117183879576838e-11, 1.57316548072380796e-02,-4.27855450821496603e+01, 1.56723371397913636e+00, 8.35876013478013824e-02, 1.70582747706161717e+04
 2.05029453664031216e+01, 1.19838306329726835e-01, 6.51301720318473485e+02, 1.19837037599905882e-01,-2.74068874589760376e-11, 1.57316954718871409e-02,-4.27850304035991229e+01, 1.56725097472664188e+00, 8.35888296681145671e-02, 1.70582750290319527e+04
 2.05153960209702220e+01, 1.19838727836714232e-01, 6.51302330424737193e+02, 1.19837412381571071e-01,-2.73833814691927668e-11, 1.57318687565245023e-02,-4.27791178944103905e+01, 1.56746835001742468e+00, 8.36030314857102580e-02, 1.70582763594925673e+04
 2.05278466755373223e+01, 1.19839149342850212e-01, 6.51302940515989576e+02, 1.19837797218833086e-01,-2.73549846408719728e-11, 1.57320420399799203e-02,-4.27679644826169820e+01, 1.56788838164354338e+00, 8.36298714675573762e-02, 1.70582780128551822e+04
 2.05402973301044227e+01, 1.19839570937361861e-01, 6.51303550590983264e+02, 1.19838190805956937e-01,-2.73197430616452048e-11, 1.57322153625679972e-02,-4.27507618340183697e+01, 1.56854231876102235e+00, 8.36713029624421845e-02, 1.70582800389404838e+04
 2.05527479846715231e+01, 1.19839992730324002e-01, 6.51304160649305345e+02, 1.19838591402858810e-01,-2.72754131475595024e-11, 1.57323887741118093e-02,-4.27269367184780720e+01, 1.56945231765019488e+00, 8.37287156261062732e-02, 1.70582824730913926e+04
